operator_qid,operator_label,country_qid,country_label,website,headquarters,inception,ceo,employees,revenue,industry,logo,stock_exchange,dissolved
Q126894270,Buller Electricity,Q664,New Zealand,https://bullerelectricity.co.nz/,,,,,,electric power distribution,,,
Q5357785,Electricity Ashburton,Q664,New Zealand,https://www.eanetworks.co.nz,Ashburton,1995-01-01T00:00:00Z,,,,electric power distribution,,,
Q6771674,Marlborough Lines Limited,Q664,New Zealand,https://www.marlboroughlines.co.nz/,Blenheim,1923-10-25T00:00:00Z,,,,electric power distribution,,,
Q108403115,Network Tasman,Q664,New Zealand,https://www.networktasman.co.nz/,Hope,,,,3828,,,,
Q108403182,Network Waitaki,Q664,New Zealand,https://www.networkwaitaki.co.nz/,Oamaru,,,,,,,,
Q7059634,Northpower,Q664,New Zealand,https://northpower.com,Whangārei,1920-01-01T00:00:00Z,,,,electric power distribution,,,
Q7102789,Orion New Zealand Limited,Q664,New Zealand,https://www.oriongroup.co.nz/,Christchurch,1998-01-01T00:00:00Z,,,,electric power distribution,,,
Q135580521,OtagoNet,Q664,New Zealand,https://powernet.co.nz/about-us/networks-we-manage/otago-net/,,,,,,electric power distribution,,,
Q7236675,Powerco,Q664,New Zealand,https://www.powerco.co.nz/,New Plymouth,1999-01-01T00:00:00Z,,,,electric power distribution,,,
Q108439029,Scanpower,Q664,New Zealand,https://www.scanpower.co.nz/,,,,,,electric power distribution,,,
Q108438789,The Lines Company,Q664,New Zealand,https://www.thelinescompany.co.nz/,,,,,,electric power distribution,,,
Q132614469,The Power Company,Q664,New Zealand,,,,,,,electric power distribution,,,
Q28182690,Top Energy,Q664,New Zealand,https://topenergy.co.nz,Kerikeri,1935-01-01T00:00:00Z,,,,electric power distribution,,,
Q7835339,Transpower New Zealand,Q664,New Zealand,https://www.transpower.co.nz/,Wellington,1994-01-01T00:00:00Z,,,,electric power industry,,,
Q24190006,Unison Networks,Q664,New Zealand,https://www.unison.co.nz/,Hastings,1924-01-01T00:00:00Z,,,,electric power distribution,,,
Q7917807,Vector Limited,Q664,New Zealand,https://www.vector.co.nz/,Auckland,1999-01-01T00:00:00Z,,,,energy industry,http://commons.wikimedia.org/wiki/Special:FilePath/Vector%20Logo%20Wikipedia.jpg,New Zealand Exchange Ltd,
Q7948949,WEL Networks,Q664,New Zealand,https://www.wel.co.nz/,Hamilton,,,,,electric power distribution,,,
Q108438813,Waipā Networks,Q664,New Zealand,https://waipanetworks.co.nz/,,,,,,electric power distribution,,,
Q7981392,Wellington Electricity,Q664,New Zealand,https://www.welectricity.co.nz/,Wellington,,,,,electric power distribution,,,
Q105820572,Westpower,Q664,New Zealand,https://www.westpower.co.nz/,Greymouth,,,,,,,,
Q12908211,MEPSO,Q221,North Macedonia,http://mepso.com.mk/,Skopje,2005-01-01T00:00:00Z,,,,electric power industry,,,
Q116459992,SONI,Q26,Northern Ireland,https://www.soni.ltd.uk/,Belfast,2009-01-01T00:00:00Z,,,,electric power industry,,,
Q129206713,Area Nett,Q20,Norway,https://area.no/,Honningsvåg,2019-11-13T00:00:00Z,,,,,,,
Q116294389,Arva,Q20,Norway,https://arva.no/hjem,Bodø Municipality,1997-08-01T00:00:00Z,,,,distribution network operator for electricity,,,
Q129177531,Austevoll Kraftlag,Q20,Norway,https://www.aksa.no/,,,,,,,,,
Q11959918,BKK,Q20,Norway,https://www.bkk.no,Kokstad,1996-11-26T00:00:00Z,Ketil Tømmernes,458,,distribution network operator for electricity,http://commons.wikimedia.org/wiki/Special:FilePath/BKK%20norway%20logo.svg,,
Q129177069,Barents Nett,Q20,Norway,https://www.barents-nett.no/,,,,,,,,,
Q124692342,Bømlo Kraftnett,Q20,Norway,https://www.finnas-kraftlag.no,,1946-03-23T00:00:00Z,,,,,,,
Q17769291,Eidsiva Nett,Q20,Norway,https://www.eidsivanett.no/,Hamar,2000-03-09T00:00:00Z,,100,,,,,2019-12-12T00:00:00Z
Q129177050,Elinett,Q20,Norway,https://www.elinett.no,,1997-10-30T00:00:00Z,,,,distribution network operator for electricity,,,
Q129177328,Elmea,Q20,Norway,https://www.elmea.no/,Svolvær,2003-12-05T00:00:00Z,,,,distribution network operator for electricity,,,
Q129350588,Enida,Q20,Norway,https://enida.no/,Egersund,,,,,distribution network operator for electricity,,,
Q117841526,Etna Nett,Q20,Norway,https://etna.no/,Dokka,2000-12-11T00:00:00Z,,,,distribution network operator for electricity,,,
Q129177365,Everket,Q20,Norway,https://everket-notodden.no/,Notodden,1993-01-04T00:00:00Z,,,,distribution network operator for electricity,,,
Q19373503,Føie,Q20,Norway,https://www.foie.no/,Geilo,1994-11-10T00:00:00Z,,78,,distribution network operator for electricity,,,
Q129358157,Føre,Q20,Norway,https://foere.net/,Ulefoss,2020-05-25T00:00:00Z,,,,distribution network operator for electricity,,,
Q66818931,Glitre Energi Nett,Q20,Norway,,Kongsberg,2015-04-29T00:00:00Z,,,,,,,2022-12-13T00:00:00Z
Q117833205,Glitre Nett,Q20,Norway,https://www.glitrenett.no/,Drammen,2001-02-01T00:00:00Z,,,,distribution network operator for electricity,http://commons.wikimedia.org/wiki/Special:FilePath/Glitre%20Nett%20logo.svg,,
Q129177187,Griug,Q20,Norway,https://www.griug.no/,Fagernes,1989-09-05T00:00:00Z,,,,,,,
Q17779684,Hadeland EnergiNett,Q20,Norway,,,1998-12-02T00:00:00Z,,,,,,,2016-08-24T00:00:00Z
Q17779700,Hafslund Nett,Q20,Norway,http://www.hafslundnett.no/,Oslo,1998-10-29T00:00:00Z,,,,electric power industry,,,2019-12-31T00:00:00Z
Q129839705,Linea,Q20,Norway,https://www.linea.no,Mosjøen,2016-05-27T00:00:00Z,,,,distribution network operator for electricity,,,
Q129177115,Lnett,Q20,Norway,https://www.l-nett.no/,Stavanger,1998-07-23T00:00:00Z,,,,distribution network operator for electricity,,,
Q129207130,Lucerna,Q20,Norway,https://www.lucerna.no/,,,,,,,,,
Q129202276,Lysna,Q20,Norway,https://lysna.no/,,2019-01-01T00:00:00Z,,,,distribution network operator for electricity,,,
Q117863236,Mellom,Q20,Norway,https://mellom.no/,,2020-09-09T00:00:00Z,,,,distribution network operator for electricity,,,
Q129177507,Nettselskapet,Q20,Norway,https://www.nettselskapet.as,Bjugn,2018-10-31T00:00:00Z,,,,distribution network operator for electricity,,,
Q117454648,Noranett,Q20,Norway,https://www.noranett.no/,Harstad,2003-02-21T00:00:00Z,,,,distribution network operator for electricity,,,
Q129350155,Nordvest Nett,Q20,Norway,https://www.nvn.no/,Sjøholt,,,,,distribution network operator for electricity,,,
Q129177211,Norgesnett,Q20,Norway,https://norgesnett.no/,Fredrikstad,1998-10-22T00:00:00Z,,,,,,,
Q111737280,REN,Q20,Norway,https://www.ren.no/,Bergen,1998-08-13T00:00:00Z,Stig Fretheim,36,89054000,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Rasjonell%20Elektrisk%20Nettvirksomhet.svg,,
Q129177967,Rauland Kraft,Q20,Norway,https://rauland-kraft.no/,,,,,,,,,
Q129178198,Røros E-verk Nett,Q20,Norway,https://revnett.no/,,,,,,,,,
Q129200223,S-Nett,Q20,Norway,https://snett.no/,Skei,2019-10-01T00:00:00Z,,,,,,,
Q602621,Statnett,Q20,Norway,https://statnett.no,Nydalen,1991-12-20T00:00:00Z,Hilde Tonne,2100,,"electric power generation, transmission and distribution",http://commons.wikimedia.org/wiki/Special:FilePath/Statnett%20logo.svg,,
Q129177615,Straumnett,Q20,Norway,https://straumnett.no/,,,,,,,,,
Q117831717,Sygnir,Q20,Norway,https://www.sygnir.no/,Vikøyri,2020-01-31T00:00:00Z,,,,distribution network operator for electricity,,,
Q117816311,Sør Aurdal Energi,Q20,Norway,https://sae.no/,Begnadalen,2011-11-01T00:00:00Z,,,,,,,
Q129351081,Telemark Nett,Q20,Norway,https://www.telemark-nett.no/,Høydalsmo,,,,,distribution network operator for electricity,http://commons.wikimedia.org/wiki/Special:FilePath/Telemark%20Nett.svg,,
Q129353462,Tendranett,Q20,Norway,https://www.tendranett.no/,Vossevangen,2017-04-19T00:00:00Z,,,,distribution network operator for electricity,http://commons.wikimedia.org/wiki/Special:FilePath/Tendranett-logo.svg,,
Q12007487,Trollfjord,Q20,Norway,https://www.trollfjord.no/,Stokmarknes,,,,,,,,
Q129207373,Vestall,Q20,Norway,https://vestall.no/,Sortland,1993-12-01T00:00:00Z,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Vestall%20logo.svg,,
Q129204201,Vissi,Q20,Norway,https://www.vissi.no/,,2018-10-17T00:00:00Z,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Vissi%20logo.svg,,
Q129177558,iSalten Nett,Q20,Norway,https://isenergi.no,,,,,,,,,
